name,province,city,address,phone_number,website,url
كتابخانه مركزی دانشگاه علوم بهزیستی و توانبخشی,تهران,تهران,تهران - اوین - بلوار دانشجو - بن بست كودكیار.,22180072-021 ( داخلی  ),http://lib.uswr.ac.ir,https://lib.ir/fa/library/498/كتابخانه-مركزی-دانشگاه-علوم-بهزیستی-و-توانبخشی/search/
كتابخانه مركزی دانشگاه علوم پزشكی اصفهان,اصفهان,اصفهان,اصفهان - خيابان هزار جريب - دانشگاه علوم پزشكي اصفهان - كتابخانه مركزى.,37922244-36687120-031 ( داخلی  ),http://lib.mui.ac.ir,https://lib.ir/fa/library/259/كتابخانه-مركزی-دانشگاه-علوم-پزشكی-اصفهان/search/
كتابخانه مركزی دانشگاه علوم پزشكی كاشان,اصفهان,كاشان,كاشان - بلوار علامه قطب راوندی - بلوار پزشك - دانشگاه علوم پزشك كاشان.,55577745-031 ( داخلی  ),http://kaums.ac.ir,https://lib.ir/fa/library/303/كتابخانه-مركزی-دانشگاه-علوم-پزشكی-كاشان/search/
كتابخانه مركزی دانشگاه قم,قم,قم,قم مقدسه - بلوار غدير (جاده قدیم اصفهان) - دانشگاه قم,32103324-32103323-025 ( داخلی 3327-3210-3347 ),https://lib.qom.ac.ir,https://lib.ir/fa/library/126/كتابخانه-مركزی-دانشگاه-قم/search/
کتابخانه مرکزی دانشگاه یاسوج (محمد بهمن بیگی),کهگیلویه و بویراحمد,یاسوج,یاسوج – روبوری ترمینال قدیم (سیزده آبان)- خیابان دانشجو – دانشگاه یاسوج کتابخانه مرکزی محمد بهمن بیگی,7431001420 ( داخلی  ),http://yu.ac.ir,https://lib.ir/fa/library/605/کتابخانه-مرکزی-دانشگاه-یاسوج-محمد-بهمن-بیگی/search/
كتابخانه مركزی دانشكده نفت اهواز,خوزستان,اهواز,اهواز - كوت عبدالله - انتهاي بزرگراه آيت ‌الله بهبهاني - ابتداي جاده آبادان.,35551059-061 ( داخلی  ),http://put.ac.ir,https://lib.ir/fa/library/263/كتابخانه-مركزی-دانشكده-نفت-اهواز/search/
کتابخانه مرکزی فرهنگستان زبان و ادب فارسی,تهران,تهران,تهران - بزرگراه حقانی - بعد از ایستگاه مترو حقانی – خروجی کتابخانه ملی ایران – فرهنگستان زبان و ادب فارسی,88642339-68 ( داخلی 88642495 ),http://Apll.ir,https://lib.ir/fa/library/456/کتابخانه-مرکزی-فرهنگستان-زبان-و-ادب-فارسی/search/
کتابخانه مرکزی قوه قضائیه,تهران,تهران,تهران - بلوار کشاورز - خیابان حجاب - نبش یکم - ساختمان مرکزی قوه قضائیه - طبقه همکف,42131053-021 ( داخلی  ),http://farhangionline.ir,https://lib.ir/fa/library/773/کتابخانه-مرکزی-قوه-قضائیه/search/
کتابخانه مرکزی مجتمع آموزش عالی امام خمینی (ره) - جامعه المصطفی (ص) العالمیه,قم,قم,خیابان 19 دی نبش میدان جهاد- مجتمع آموزش عالی امام خمینی (ره),37110210-025 ( داخلی  ),http://Dlib.miu.ac.ir,https://lib.ir/fa/library/111/کتابخانه-مرکزی-مجتمع-آموزش-عالی-امام-خمینی-ره--جامعه-المصطفی-ص-العالمیه/search/
کتابخانه مرکزی، مرکز اسناد و تامین منابع علمی دانشگاه صنعتی سهند,آذربایجان شرقی,سهند,تبریز، شهر جدید سهند، دانشگاه صنعتی سهند، کتابخانه مرکزی,04133443834 ( داخلی  ),https://library.sut.ac.ir,https://lib.ir/fa/library/302/کتابخانه-مرکزی-مرکز-اسناد-و-تامین-منابع-علمی-دانشگاه-صنعتی-سهند/search/
کتابخانه مرکزی، مرکز اسناد و موزه دانشگاه شهید بهشتی,تهران,تهران,تهران-اوین، ميدان شهيد شهرياری، دانشگاه شهید بهشتی، میدان اصلی دانشگاه روبروی درب دندانپزشکی، کتابخانه مرکزی، مرکز اسناد و موزه,22431916-021 ( داخلی 021-29902323 ),http://Library.sbu.ac.ir,https://lib.ir/fa/library/670/کتابخانه-مرکزی-مرکز-اسناد-و-موزه-دانشگاه-شهید-بهشتی/search/
کتابخانه مرکزی و مرکز اسناد دانشگاه اراک,مرکزی,اراک,اراک بلوار کربلا دانشگاه اراک,08632622404 ( داخلی 2404 ),http://www.digilib.araku.ac.ir,https://lib.ir/fa/library/445/کتابخانه-مرکزی-و-مرکز-اسناد-دانشگاه-اراک/search/
كتابخانه مركزی و مركز اسناد دانشگاه الزهراء (س),تهران,تهران,تهران - ونك - دانشگاه الزهرا (س).,88044040-021 ( داخلی  ),http://alzahra.ac.ir,https://lib.ir/fa/library/281/كتابخانه-مركزی-و-مركز-اسناد-دانشگاه-الزهراء-س/search/
كتابخانه مركزی و مركز اسناد دانشگاه تهران,تهران,تهران,تهران - ميدان انقلاب اسلامی - دانشگاه تهران - پرديس مركزی دانشگاه تهران.,66466179-61112362-021 ( داخلی  ),http://library.ut.ac.ir,https://lib.ir/fa/library/246/كتابخانه-مركزی-و-مركز-اسناد-دانشگاه-تهران/search/
کتابخانه مرکزي و مرکز اسناد دانشگاه سمنان,سمنان,سمنان,روبروي پارك سوکان – پردیس شماره یک دانشگاه سمنان – کتابخانه مرکزي و مرکز اسناد,( داخلی 02331535134 ),http://Https://Lib.semnan.ac.ir,https://lib.ir/fa/library/198/کتابخانه-مرکزي-و-مرکز-اسناد-دانشگاه-سمنان/search/
کتابخانه مرکزی و مرکز اسناد دانشگاه شهید باهنر کرمان,کرمان,كرمان,بزرگراه امام خمینی میدان افضلی پور دانشگاه شهید باهنر,03433257204 ( داخلی 03431323140 ),https://centlib.uk.ac.ir,https://lib.ir/fa/library/663/کتابخانه-مرکزی-و-مرکز-اسناد-دانشگاه-شهید-باهنر-کرمان/search/
كتابخانه مركزی و مركز اسناد دانشگاه شهيد چمران,خوزستان,اهواز,اهواز- بلوار گلستان - فلكه دانشگاه - دانشگاه شهيد چمران.,33360244-061 ( داخلی  ),http://libscu.ac.ir,https://lib.ir/fa/library/285/كتابخانه-مركزی-و-مركز-اسناد-دانشگاه-شهيد-چمران/search/
کتابخانه مرکزی و مرکز اسناد دانشگاه شهید مدنی آذربایجان,آذربایجان شرقی,تبریز,تبریز - کیلومتر 35 جاده تبریز مراغه - دانشگاه شهید مدنی,34327567-041 ( داخلی 2453 ),http://Plib.azaruniv.ac.ir,https://lib.ir/fa/library/601/کتابخانه-مرکزی-و-مرکز-اسناد-دانشگاه-شهید-مدنی-آذربایجان/search/
كتابخانه مركزی و مركز اسناد دانشگاه صنعتی خواجه نصير الدين طوسى,تهران,تهران,تهران- میرداماد غربی - پلاك 470 - طبقه چهارم - كتابخانه مركزي دانشگاه.,88881052-88881042-021 ( داخلی  ),http://library.kntu.ac.ir,https://lib.ir/fa/library/270/كتابخانه-مركزی-و-مركز-اسناد-دانشگاه-صنعتی-خواجه-نصير-الدين-طوسى/search/
كتابخانه مركزی و مركز اسناد دانشگاه علامه طباطبایی,تهران,تهران,تهران-خیابان كارگر جنوبی - چهارراه لشكر - جنب پمپ بنزین – ساختمان تخصصی آزاد.,39-55420036-021 ( داخلی  ),http://library.atu.ac.ir,https://lib.ir/fa/library/279/كتابخانه-مركزی-و-مركز-اسناد-دانشگاه-علامه-طباطبایی/search/
کتابخانه مرکزی و مرکز اسناد دانشگاه گلستان,گلستان,گرگان,خیابان شهید بهشتی- دانشگاه گلستان- کتابخانه مرکزی و مرکز اسناد,01732254168 و 01732254164 ( داخلی 327 ),http://gu.ac.ir/library/HomePage,https://lib.ir/fa/library/446/کتابخانه-مرکزی-و-مرکز-اسناد-دانشگاه-گلستان/search/
كتابخانه مركزی و مركز اسناد دانشگاه گيلان,گیلان,رشت,رشت - كيلومتر 10 جاده تهران - مجتمع دانشگاه گيلان.,7-33690445-013 ( داخلی  ),http://Library.gvilan.ac.ir,https://lib.ir/fa/library/271/كتابخانه-مركزی-و-مركز-اسناد-دانشگاه-گيلان/search/
كتابخانه مركزی و مركز اسناد دانشگاه مازندران,مازندران,بابلسر,بابلسر - پرديس دانشگاه مازنداران - كتابخانه مركزي و مركز اسناد.,62-35302861-011 ( داخلی  ),http://clib.umz.ac.ir,https://lib.ir/fa/library/261/كتابخانه-مركزی-و-مركز-اسناد-دانشگاه-مازندران/search/
كتابخانه مركزی و مركز اسناد شهيد مطهری دانشگاه رازى,کرمانشاه,كرمانشاه,كرمانشاه - باغ ابريشم - دانشگاه رازي - كتاب رازى.,34274531-083 ( داخلی  ),http://razi.ac.ir,https://lib.ir/fa/library/272/كتابخانه-مركزی-و-مركز-اسناد-شهيد-مطهری-دانشگاه-رازى/search/
کتابخانه مرکزی و مرکز اسناد شهید مطهری دانشگاه ولی عصر(عج),کرمان,رفسنجان,رفسنجان - میدان 22 بهمن - ابتدای جاده یزد - دانشگاه ولی عصر(عج),20-31312512-034 ( داخلی  ),http://Library.vru.ac.ir,https://lib.ir/fa/library/767/کتابخانه-مرکزی-و-مرکز-اسناد-شهید-مطهری-دانشگاه-ولی-عصر-عج/search/
کتابخانه مرکزی و مرکز اسناد و انتشارات دانشگاه تبریز,آذربایجان شرقی,تبریز,تبریز، بلوار 29 بهمن، دانشگاه تبریز، کتابخانه مرکزی، مرکز اسناد و انتشارات دانشگاه,04133294120-04133294118 ( داخلی  ),http://?http://lib.tabrizu.ac.ir,https://lib.ir/fa/library/301/کتابخانه-مرکزی-و-مرکز-اسناد-و-انتشارات-دانشگاه-تبریز/search/
