name,province,city,address,phone_number,website,url
کتابخانه دیجیتالی نور,قم,قم,,٠٢۵-٣٢٩٣۶٢٧١  ( داخلی  ),http://noorlib.ir,https://lib.ir/fa/library/758/کتابخانه-دیجیتالی-نور/search/
کتابخانه زبانهای خارجی و منابع اسلامی,قم,قم,قم مقدسه - خیابان شهدا - کوچه 39 - پلاک 35 .,37839111 ( داخلی  ),http://libflis.com,https://lib.ir/fa/library/559/کتابخانه-زبانهای-خارجی-و-منابع-اسلامی/search/
کتابخانه علامه شرف الدین,قم,قم,قم، جمکران، ابتدای بلوار انتظار، مجتمع علمی دارالولایة، موسسه دارالإعلام لمدرسة اهل‌البیت,37255866-025 ( داخلی 105-106 ),https://lib.darolelam.ir,https://lib.ir/fa/library/598/کتابخانه-علامه-شرف-الدین/search/
كتابخانه عمومی الزهراء (س),قم,قم,قم مقدسه - بلوار شهید صدوقی - 20 متری امام حسین (ع) - خیابان دانیال نبی(ع) - میدان نور - كتابخانه مجتمع الزهراء(س).,32880744-025 ( داخلی  ),http://alzahralib.ir,https://lib.ir/fa/library/190/كتابخانه-عمومی-الزهراء-س/search/
کتابخانه عمومی امام صادق علیه السلام,قم,قم,قم- خیابان 19 دی- شهرک فرهنگیان- فاز 2= میدان صادقیه- طبقه دوم مسجد امام صادق(ع),375041510-025 ( داخلی  ),http://qompl.ir,https://lib.ir/fa/library/760/کتابخانه-عمومی-امام-صادق-علیه-السلام/search/
كتابخانه عمومی امام علی (ع),قم,قم,قم مقدسه - انتهاي خیابان توحید(نيروگاه) - شيخ آباد - 16 متري وليعصر (عج) - پارك گلها.,38865353-025 ( داخلی  ),http://qompl.ir,https://lib.ir/fa/library/383/كتابخانه-عمومی-امام-علی-ع/search/
كتابخانه عمومی - امانی خواهران پژوهشگاه علوم و معارف اسلامی (دفتر تبليغات اسلامی حوزه علمیه قم),قم,قم,قم مقدسه - میدان شهدا - كوچه مسجد سلماسی.,371160-025 ( داخلی 1254 ),http://Lib.isca.ac.ir,https://lib.ir/fa/library/116/كتابخانه-عمومی--امانی-خواهران-پژوهشگاه-علوم-و-معارف-اسلامی-دفتر-تبليغات-اسلامی-حوزه-علمیه-قم/search/
كتابخانه عمومی آيت الله حائری (فيضيه),قم,قم,قم - ميدان آستانه- مدرسه فيضيه - كتابخانه عمومي آيت الله حائرى (ره).,37741483-025 ( داخلی  ),http://haerilib.ir,https://lib.ir/fa/library/332/كتابخانه-عمومی-آيت-الله-حائری-فيضيه/search/
كتابخانه عمومی آيت الله خامنه اى,قم,قم,قم مقدسه - خيابان شهيد لواساني ( ساحلي ) - كتابخانه عمومي آيت الله العظمي خامنه اي مد ظله.,37702309-025 ( داخلی  ),http://qompl.ir,https://lib.ir/fa/library/225/كتابخانه-عمومی-آيت-الله-خامنه-اى/search/
كتابخانه عمومی باقر العلوم (ع) (هلال احمر),قم,قم,قم مقدسه - خيابان 19 دى - خيابان شهيد بشارت (جوي كنده) - هلال احمر.,37702811-025 ( داخلی  ),http://qompl.ir,https://lib.ir/fa/library/223/كتابخانه-عمومی-باقر-العلوم-ع--هلال-احمر/search/
كتابخانه عمومی ریحانه النبی (س),قم,قم,قم - شهر قائم (عج) - روبروي كلانتري28 خازنى.,37232828-025 ( داخلی  ),http://qompl.ir,https://lib.ir/fa/library/387/كتابخانه-عمومی-ریحانه-النبی-س/search/
كتابخانه عمومی شهدای قم,قم,قم,قم - خيابان چهار مردان - خيابان شهید روحانى - جنب گلزار شهدا.,37207333-025 ( داخلی  ),http://qompl.ir,https://lib.ir/fa/library/434/كتابخانه-عمومی-شهدای-قم/search/
کتابخانه عمومی علامه امینی,قم,قم,قم- خیابان کارگر- بلوار سوم خرداد- خیابان امام حسین(ع)- انتهای کوچه 16 .,38751920-025 ( داخلی  ),http://qompl.ir,https://lib.ir/fa/library/761/کتابخانه-عمومی-علامه-امینی/search/
کتابخانه عمومی علی بن موسی الرضا علیه السلام,قم,قم,قم- شهرک قدس- خیابان هدایت- نبش کوچه 23- طبقه زیرین مسجد علی ابن موسی الرضا(ع),32859918-025 ( داخلی  ),http://qompl.ir,https://lib.ir/fa/library/762/کتابخانه-عمومی-علی-بن-موسی-الرضا-علیه-السلام/search/
کتابخانه عمومی فاطمة الزهرا سلام الله علیها,قم,قم,قم- خیابان امیرکبیر- روبروی پل آهنچی- کوچه شماره 5 (آبشار)- زیر زمین مسجد فاطمه الزهرا(س),36501079-025 ( داخلی  ),http://qompl.ir,https://lib.ir/fa/library/763/کتابخانه-عمومی-فاطمة-الزهرا-سلام-الله-علیها/search/
كتابخانه عمومی مریم (س),قم,قم,قم -خيابان شهید جواد دل آذر - كوچه 15 - مجتمع فرهنگي ورزشي مريم(س).,37783834-025 ( داخلی  ),http://qompl.ir,https://lib.ir/fa/library/389/كتابخانه-عمومی-مریم-س/search/
کتابخانه عمومی مؤسسه امام صادق علیه السلام,قم,قم,قم-خیابان مصلی (ساحلی)- انتهای کوچه شماره 18 .,32615676-025 ( داخلی  ),http://qompl.ir,https://lib.ir/fa/library/764/کتابخانه-عمومی-مؤسسه-امام-صادق-علیه-السلام/search/
كتابخانه عمومی نابینایان,قم,قم,قم - خيابان شهيد لواساني ( ساحلي ) - كتابخانه عمومي آيت الله العظمي خامنه اى.,37702309-025 ( داخلی  ),http://qompl.ir,https://lib.ir/fa/library/386/كتابخانه-عمومی-نابینایان/search/
