name,province,city,address,phone_number,website,url
كتابخانه مركزی آستان قدس رضوی (ع) - گردش و امانت آقايان,خراسان رضوی,مشهد,مشهد مقدس - حرم مطهر امام رضا علیه السلام - بست شيخ طوسي - سازمان كتابخانه ها، موزه ها و مركز اسناد آستان قدس رضوي (ع).,8-32232004-051 ( داخلی  ),http://aqlibrary.org/about/centerlib.aspx,https://lib.ir/fa/library/132/كتابخانه-مركزی-آستان-قدس-رضوی-ع--گردش-و-امانت-آقايان/search/
كتابخانه مركزی آستان قدس رضوی (ع) - گردش و امانت بانوان,خراسان رضوی,مشهد,مشهد مقدس - حرم مطهر امام رضا علیه السلام - بست شيخ طوسي - سازمان كتابخانه ها، موزه ها و مركز اسناد آستان قدس رضوي (ع ).,8-32232004-051 ( داخلی  ),http://aqlibrary.org/about/centerlib.aspx,https://lib.ir/fa/library/133/كتابخانه-مركزی-آستان-قدس-رضوی-ع--گردش-و-امانت-بانوان/search/
کتابخانه مرکزی و مرکز اطلاع رسانی دانشگاه فردوسی مشهد,خراسان رضوی,مشهد,مشهد مقدس - میدان آزادی - پردیس دانشگاه فردوسی مشهد.,05138806503 ( داخلی  ),http://library.um.ac.ir,https://lib.ir/fa/library/560/کتابخانه-مرکزی-و-مرکز-اطلاع-رسانی-دانشگاه-فردوسی-مشهد/search/
کتابخانه مستقل تخصصی حضرت صاحب الزمان (عج),خراسان رضوی,مشهد,مشهد مقدس - خیابان فدائیان اسلام (نخریسی) - بین فدائیان 1 و 3 .,38533744-38533792-051 ( داخلی  ),http://mahdilib.gigfa.com,https://lib.ir/fa/library/547/کتابخانه-مستقل-تخصصی-حضرت-صاحب-الزمان-عج/search/
كتابخانه مسجد الرضا (ع) (آستان قدس رضوی),خراسان رضوی,مشهد,مشهد - احمدآباد – بلوار امام رضا (ع)- نبش رضا 36,05138445932 ( داخلی  ),http://,https://lib.ir/fa/library/139/كتابخانه-مسجد-الرضا-ع--آستان-قدس-رضوی/search/
کتابخانه مسجد امام جعفر صادق (ع) (آستان قدس رضوی ع),خراسان رضوی,مشهد,مشهد - بلوار وکیل آباد 36 - سرو 12,38945610-051 ( داخلی  ),http://,https://lib.ir/fa/library/726/کتابخانه-مسجد-امام-جعفر-صادق-ع--آستان-قدس-رضوی-ع/search/
كتابخانه مسجد امام صادق (ع) (آستان قدس رضوی ع),خراسان رضوی,مشهد,خيابان دانشگاه- روبروی دانشگاه 15 - کتابخانه امام صادق (ع),32222423-051 ( داخلی  ),http://aqlibrary.ir,https://lib.ir/fa/library/140/كتابخانه-مسجد-امام-صادق-ع--آستان-قدس-رضوی-ع/search/
كتابخانه مسجد بزرگ امام رضا (ع) (آستان قدس رضوی ع),خراسان رضوی,مشهد,کوی امیرالمومنین (ع)، ولیعصر 25,37633311-051 ( داخلی  ),http://aqlibrary.ir/libraries/lib12.aspx,https://lib.ir/fa/library/150/كتابخانه-مسجد-بزرگ-امام-رضا-ع--آستان-قدس-رضوی-ع/search/
کتابخانه مسجد پنجتن (ع) (آستان قدس رضوی ع),خراسان رضوی,مشهد,کوهسنگی –خیابان شهید بهشتی-بهشتی 40,05138415647 ( داخلی  ),http://,https://lib.ir/fa/library/731/کتابخانه-مسجد-پنجتن-ع--آستان-قدس-رضوی-ع/search/
كتابخانه مسجد حضرت سجاد (ع) (آستان قدس رضوی ع),خراسان رضوی,مشهد,مشهد مقدس - بلوار سجاد – سجاد 21 – نبش خیابان امین,36097737-051 ( داخلی  ),http://,https://lib.ir/fa/library/169/كتابخانه-مسجد-حضرت-سجاد-ع--آستان-قدس-رضوی-ع/search/
کتابخانه مسجد حضرت عباس (ع) (آستان قدس رضوی),خراسان رضوی,مشهد,مشهد - قاسم آباد . بلوار شاهد . شاهد 10,35149120-051 ( داخلی  ),http://,https://lib.ir/fa/library/788/کتابخانه-مسجد-حضرت-عباس-ع--آستان-قدس-رضوی/search/
كتابخانه مسجد زينبيه (س) (آستان قدس رضوی ع),خراسان رضوی,مشهد,بلوار مطهری شمالی _ مطهری شمالی 2 _ مسجد زینبیه _ کتابخانه مسجد زینبیه,37247114-051 ( داخلی  ),https://library.razavi.ir/aqlibraries,https://lib.ir/fa/library/149/كتابخانه-مسجد-زينبيه-س--آستان-قدس-رضوی-ع/search/
كتابخانه مسجد قبا (آستان قدس رضوی ع),خراسان رضوی,مشهد,خیام جنوبی 21 کتابخانه مسجد قبا,37636151-051 ( داخلی  ),http://aqlibrary.org,https://lib.ir/fa/library/148/كتابخانه-مسجد-قبا-آستان-قدس-رضوی-ع/search/
کتابخانه مسجد محمدیه (ص) (آستان قدس رضوی ع),خراسان رضوی,مشهد,طلاب - پیچ دوم تلگرد عطاحسینی 13 - مسجد جوادالائمه - کتابخانه محمدیه,32595737-051 ( داخلی  ),http://aqlibrary.org,https://lib.ir/fa/library/147/کتابخانه-مسجد-محمدیه-ص--آستان-قدس-رضوی-ع/search/
کتابخانه و مرکز اطلاع رسانی دانشگاه بین المللی امام رضا علیه السلام,خراسان رضوی,مشهد,خیابان دانشگاه – خیابان اسرار جنوبی – دانشگاه  بین المللی امام رضا (ع) – کتابخانه و مرکز اطلاع رسانی دانشگاه,05138041 ( داخلی 1406 ),http://Libportal.imamreza.ac.ir,https://lib.ir/fa/library/300/کتابخانه-و-مرکز-اطلاع-رسانی-دانشگاه-بین-المللی-امام-رضا-علیه-السلام/search/
کتابخانه و مرکز اطلاع رسانی شیخ بهائی (دفتر تبليغات اسلامی حوزه علميه خراسان),خراسان رضوی,مشهد,خیابان آیت الله خزعلی، بین کوچه روشن و مخابرات ، دفتر تبلیغات اسلامی,6-32233350 ( داخلی  ),http://Dtelib.ir,https://lib.ir/fa/library/780/کتابخانه-و-مرکز-اطلاع-رسانی-شیخ-بهائی-دفتر-تبليغات-اسلامی-حوزه-علميه-خراسان/search/
