name,province,city,address,phone_number,website
کتابخانه فردوس (کتابخانه های سازمان فرهنگی هنری شهرداری تهران),تهران,تهران,تهران - فلكه دوم صادقيه- بلوار فردوس- بعد از چهارراه مخابرات- فرهنگسراي فردوس.,44081043-021 ( داخلی  ),http://tlib.ir
کتابخانه فردوسی (کتابخانه های سازمان فرهنگی هنری شهرداری تهران),تهران,تهران,تهران - خيابان شوش - خيابان ری - خيابان انبارگندم - كتابخانه فردوسي.,33562082-021 ( داخلی  ),http://tlib.ir
کتابخانه فرزانگان (کتابخانه های سازمان فرهنگی هنری شهرداری تهران),تهران,تهران,تهران - نارمك - انتهاي خيابان گلستان - جنب بوستان تسليحات - كوچه شهيد غلام رضاگلستاني - شماره ۱۲۸.,77818842-021 ( داخلی  ),http://tlib.ir
کتابخانه فناوری اطلاعات (کتابخانه های سازمان فرهنگی هنری شهرداری تهران),تهران,تهران,تهران - ابتداي خوش جنوبي- خيابان شهيد اميرقلي- نرسيده به تقاطع ناهيد- فرهنگسرای عطار نيشابوري.,66902134-021 ( داخلی  ),http://tlib.ir
کتابخانه قائم (عج) (کتابخانه های سازمان فرهنگی هنری شهرداری تهران),تهران,تهران,تهران - بلواريافت آباد - بعدازميدان معلم - جنب مجتمع قضايي يافت آباد - بوستان قائم(عج).,66217766-021 ( داخلی  ),http://tlib.ir
کتابخانه قیصر امین پور (کتابخانه های سازمان فرهنگی هنری شهرداری تهران),تهران,تهران,تهران - مهرآباد جنوبي - خيابان توكلي - كوچه شهيد ابراهيم اصفهاني - پلاك ۴۶ـ خانه فرهنگ مهرآباد.,66620163-021 ( داخلی  ),http://tlib.ir
کتابخانه گروه باستان شناسی دانشکده ادبیات دانشگاه تهران,تهران,تهران,تهران - خیابان انقلاب اسلامی - دانشگاه تهران.,66913992 ( داخلی 2569 ),http://ut.ac.ir
کتابخانه گروه تاریخ دانشگاه تهران,تهران,تهران,تهران - خیابان انقلاب اسلامی - دانشگاه تهران.,61117252 ( داخلی  ),http://ut.ac.ir
کتابخانه گروه زبان و ادبیات فارسی دانشگاه تهران,تهران,تهران,تهران - خیابان انقلاب اسلامی - دانشگاه تهران.,61113082 ( داخلی  ),http://ut.ac.ir
کتابخانه گلستان (کتابخانه های سازمان فرهنگی هنری شهرداری تهران),تهران,تهران,تهران - نارمك - ميدان هلال احمر - خيابان گلستان - ضلع شمالي بوستان فدك - فرهنگسراي گلستان.,77827730-021 ( داخلی  ),http://tlib.ir
